position,Country,GDP_IMF_fcast,IMF_year,GDP_WB_fcast,WB_year,GDP_UN_fcast,UN_year
82,Tanzania,"79,867",2024,"79,158",2023,"73,535",2022
83,Azerbaijan,"75,649",2024,"72,356",2023,"78,721",2022
84,Ghana,"75,307",2024,"76,370",2023,"73,766",2022
,,,,,,,
85,Slovenia,"73,198",2024,"68,217",2023,"59,981",2022
86,Belarus,"73,129",2024,"71,857",2023,"72,873",2022
87,DR Congo,"72,483",2024,"66,383",2023,"62,551",2022
88,Myanmar,"64,284",2024,"64,815",2023,"65,211",2022
89,Uganda,"55,587",2024,"49,273",2023,"48,243",2022
90,Macau,"55,447",2024,"47,062",2023,"24,042",2022
91,Cameroon,"53,391",2024,"47,946",2023,"44,341",2022
92,Jordan,"53,305",2024,"50,814",2023,"47,452",2022
93,Tunisia,"52,636",2024,"48,530",2023,"46,181",2022
94,Cambodia,"51,159",2025,"31,773",2023,"29,504",2022
95,Bolivia,"48,172",2024,"45,850",2023,"44,008",2022
96,Bahrain,"47,812",2024,"43,205",2023,"44,382",2022
97,Latvia,"45,521",2024,"43,627",2023,"40,876",2022
98,Paraguay,"44,937",2024,"42,956",2023,"41,722",2022
99,Libya,"44,812",2024,"50,492",2023,"40,537",2022
100,Nepal,"43,673",2024,"40,908",2023,"39,406",2022
101,Estonia,"43,044",2024,"40,745",2023,"38,049",2022
102,Honduras,"36,735",2024,"34,401",2023,"31,717",2022
103,Zimbabwe,"35,919",2024,"26,538",2023,"26,418",2022
104,El Salvador,"35,848",2024,"34,016",2023,"32,488",2022
105,Cyprus,"34,790",2024,"32,230",2023,"29,210",2022
106,Senegal,"33,685",2024,"31,014",2023,"27,775",2022
107,Georgia,"33,191",]2024,"30,536",]2023,"24,605",]2022
108,Iceland,"32,919",2024,"31,020",2023,"28,064",2022
109,Papua New Guinea,"31,716",2024,"30,933",2022,"31,609",2022
110,Sudan,"30,873",2024,"109,327",2023,"36,729",2022
111,Zambia,"29,872",2024,"28,163",2023,"29,136",2022
112,Bosnia and Herzegovina,"29,078",2024,"27,055",2023,"24,473",2022
113,Trinidad and Tobago,"28,365",2024,"28,140",2023,"30,053",2022
114,Guinea,"25,447",2024,"23,612",2023,"20,846",2022
115,Albania,"25,431",2024,"22,978",2023,"18,916",2022
116,Armenia,"25,408",2024,"24,212",2023,"19,513",2022
117,Haiti,"24,046",2024,"19,851",2023,"18,751",2022
118,Mozambique,"22,975",2024,"20,625",2023,"18,406",2022
119,Malta,"22,737",2024,"20,957",2023,"18,100",2022
120,Mongolia,"21,943",2024,"19,872",2023,"17,146",2022
121,Burkina Faso,"21,902",2024,"20,325",2023,"19,176",2022
122,Mali,"21,662",2024,"20,905",2023,"18,827",2022
123,Botswana,"21,418",2024,"19,396",2023,"20,352",2022
124,Benin,"21,371",2024,"19,673",2023,"17,396",2022
125,Guyana,"21,178",2024,"16,786",2023,"14,718",2022
126,Gabon,"21,013",2024,"20,516",2023,"20,132",2022
127,Jamaica,"20,098",2024,"19,423",2023,"17,097",2022
128,Nicaragua,"18,829",2024,"17,829",2023,"15,671",2022
,,,,,,,
129,Niger,"18,816",2024,"16,819",2023,"15,414",2022
130,Chad,"18,697",2024,"13,149",2023,"16,799",2022
,Palestine,"18,602",]2023,"17,396",]2023,"19,111",]2022
,Syria,,,"8,980",2021,"18,595",2022
131,Moldova,"18,356",]2024,"16,539",]2023,"14,510",]2022
,Lebanon,"21,780",2022,"17,937",2023,"39,303",2022
132,Yemen,"16,940",2024,,,"11,007",2022
133,Madagascar,"16,465",2024,"16,032",2023,"14,954",2022
134,Mauritius,"16,359",2024,"14,397",2023,"12,898",2022
135,Brunei,"15,988",2024,"15,128",2023,"16,681",2022
136,North Macedonia,"15,873",2024,"14,761",2023,"13,711",2022
137,Kyrgyzstan,"15,770",2024,"13,782",2023,"12,560",2022
138,Congo,"15,501",2024,"15,321",2023,"15,344",2022
139,Laos,"15,190",2024,"15,843",2023,"15,362",2022
,North Korea,,,,,"15,176",2022
,Afghanistan,"14,467",2022,"14,502",2022,"14,174",2022
140,Bahamas,"14,390",2024,"14,339",2023,"12,897",2022
141,Rwanda,"13,701",2024,"14,098",2023,"13,312",2022
142,Tajikistan,"13,000",2024,"12,061",2023,"10,492",2022
143,Somalia,"12,804",2024,"11,680",2023,"10,420",2022
144,Namibia,"12,765",2024,"12,351",2023,"12,607",2022
,Kosovo,"11,318",2024,"10,438",2023,"9,397",2022
145,Malawi,"11,241",2024,"14,084",2023,"12,558",2022
146,Equatorial Guinea,"10,708",2024,"12,117",2023,"11,767",2022
147,Mauritania,"10,628",2024,"10,453",2023,"10,997",2022
148,Togo,"9,832",2024,"9,171",2023,"8,087",2022
,New Caledonia,,,"9,623",2022,"9,623",2022
,Monaco,,,"8,784",2022,"8,772",2022
149,Montenegro,"8,010",2024,"7,405",2023,"6,229",2022
,Bermuda,,,"7,828",2022,"7,546",2022
,Liechtenstein,,,"7,365",2022,"7,757",2022
150,Maldives,"7,199",2024,"6,600",2023,"6,170",2022
151,Barbados,"6,863",2024,"6,394",2023,"5,699",2022
,Cayman Islands,,,"6,601",2022,"6,281",2022
152,South Sudan,"6,517",2024,,,"4,616",2022
,French Polynesia,,,"5,815",2022,"5,814",2022
153,Fiji,"5,801",2024,"5,495",2023,"4,979",2022
154,Eswatini,"5,085",2024,"4,598",2023,"4,326",2022
155,Liberia,"4,754",2024,"4,332",2023,"3,265",2022
156,Sierra Leone,"4,558",2024,"3,810",2023,"3,481",2022
157,Djibouti,"4,364",2024,"4,099",2023,"4,003",2022
158,Suriname,"4,337",2024,"3,782",2023,"3,620",2022
159,Aruba,"4,069",2024,"3,545",2022,"3,544",2022
160,Andorra,"3,897",2024,"3,728",2023,"3,376",2022
,,,,,,,
161,Belize,"3,296",2024,"3,282",2023,"2,830",2022
162,Bhutan,"3,110",2024,"2,898",2022,"2,898",2022
163,Burundi,"3,075",2024,"2,642",2023,"4,032",2022
,Curaçao,,,"3,074",2022,"3,075",2022
,Greenland,,,"3,236",2021,"2,926",2022
164,Central African Republic,"2,810",2024,"2,555",2023,"2,395",2022
165,Cape Verde,"2,718",2024,"2,587",2023,"2,314",2022
166,Gambia,"2,694",2024,"2,340",2023,"2,231",2022
167,Saint Lucia,"2,582",2024,"2,520",2023,"2,165",2022
168,Lesotho,"2,395",2024,"2,046",2023,"2,287",2022
,Eritrea,,,,,"2,383",2022
,Zanzibar,,,,,"2,361",2022
169,Seychelles,"2,203",2024,"2,141",2023,"1,994",2022
170,Guinea-Bissau,"2,151",2024,"1,966",2023,"1,574",2022
171,Antigua and Barbuda,"2,127",2024,"2,033",2023,"1,770",2022
172,San Marino,"2,033",2024,"1,855",2021,"1,780",2022
173,Timor-Leste,"1,992",2024,"2,243",2023,"3,204",2022
174,Solomon Islands,"1,707",2024,"1,631",2023,"1,597",2022
,Sint Maarten,,,"1,623",2023,"1,572",2022
175,Comoros,"1,422",2024,"1,352",2023,"1,246",2022
176,Grenada,"1,406",2024,"1,320",2023,"1,192",2022
,Turks and Caicos Islands,,,"1,402",2023,"1,138",2022
177,Vanuatu,"1,289",2024,"1,126",2023,985,2022
178,Saint Kitts and Nevis,"1,134",2024,"1,077",2023,979,2022
179,Saint Vincent and the Grenadines,"1,128",2024,"1,066",2023,946,2022
180,Samoa,"1,024",2024,934,2023,857,2022
181,São Tomé and Príncipe,751,2024,603,2023,546,2022
182,Dominica,708,2024,654,2023,612,2022
183,Tonga,581,2024,500,2022,488,2022
184,Micronesia,484,2024,460,2023,427,2022
185,Kiribati,311,2024,279,2023,223,2022
186,Palau,308,2024,263,2023,225,2022
187,Marshall Islands,305,2024,284,2023,279,2022
188,Nauru,161,2024,154,2023,147,2022
189,Tuvalu,66,2024,62,2023,59,2022
