,text
10,"        The interaction between off-resonant laser pulses and excitons in monolayer transition metal dichalcogenides is attracting increasing interest as a route for the valley-selective coherent control of the exciton properties. Here, we extend the classification of the known off-resonant phenomena by unveiling the impact of a strong THz field on the excitonic resonances of monolayer MoS$_2$. We observe that the THz pump pulse causes a selective modification of the coherence lifetime of the excitons, while keeping their oscillator strength and peak energy unchanged. We rationalize these results theoretically by invoking a hitherto unobserved manifestation of the Franz-Keldysh effect on an exciton resonance. As the modulation depth of the optical absorption reaches values as large as 0.05 dBm at room temperature, our findings open the way to the use of semiconducting transition metal dichalcogenides as compact and efficient platforms for high-speed electroabsorption devices.        "
11,"        This paper reviews the NTIRE 2020 Challenge on NonHomogeneous Dehazing of images (restoration of rich details in hazy image). We focus on the proposed solutions and their results evaluated on NH-Haze, a novel dataset consisting of 55 pairs of real haze free and nonhomogeneous hazy images recorded outdoor. NH-Haze is the first realistic nonhomogeneous haze dataset that provides ground truth images. The nonhomogeneous haze has been produced using a professional haze generator that imitates the real conditions of haze scenes. 168 participants registered in the challenge and 27 teams competed in the final testing phase. The proposed solutions gauge the state-of-the-art in image dehazing.        "
12,"        Angle closure glaucoma (ACG) is a more aggressive disease than open-angle glaucoma, where the abnormal anatomical structures of the anterior chamber angle (ACA) may cause an elevated intraocular pressure and gradually lead to glaucomatous optic neuropathy and eventually to visual impairment and blindness. Anterior Segment Optical Coherence Tomography (AS-OCT) imaging provides a fast and contactless way to discriminate angle closure from open angle. Although many medical image analysis algorithms have been developed for glaucoma diagnosis, only a few studies have focused on AS-OCT imaging. In particular, there is no public AS-OCT dataset available for evaluating the existing methods in a uniform way, which limits progress in the development of automated techniques for angle closure detection and assessment. To address this, we organized the Angle closure Glaucoma Evaluation challenge (AGE), held in conjunction with MICCAI 2019. The AGE challenge consisted of two tasks: scleral spur localization and angle closure classification. For this challenge, we released a large dataset of 4800 annotated AS-OCT images from 199 patients, and also proposed an evaluation framework to benchmark and compare different models. During the AGE challenge, over 200 teams registered online, and more than 1100 results were submitted for online evaluation. Finally, eight teams participated in the onsite challenge. In this paper, we summarize these eight onsite challenge methods and analyze their corresponding results for the two tasks. We further discuss limitations and future directions. In the AGE challenge, the top-performing approach had an average Euclidean Distance of 10 pixels (10um) in scleral spur localization, while in the task of angle closure classification, all the algorithms achieved satisfactory performances, with two best obtaining an accuracy rate of 100%.        "
13,"        In this paper, a low radar cross section (RCS) patch antenna based on the 3-bit metasurface composed of linear polarization conversion elements is designed. At first, 3-bit coding metamaterials are constructed by a sequence of eight coded unit cells, which have a similar cross-polarized reflected amplitude response and gradient reflected phase responses covering 0~2Ï, respectively. Equivalent circuit models (ECMs) of these unit cells are created to describe their electrical behavior for the two linear incident polarizations at the same time. Then, a patch antenna is integrated on the 3-bit metasurface, of which the elements are placed with a 2-dimensional linear coding sequence. The metal square ring is set around the patch antenna to protect it from the disturbance of metasurface. Both the simulation and experiment results demonstrate that the designed metasurface can primarily reduce the antenna RCS at a broadband, while the antenna performances are not degraded significantly.        "
14,"        An intelligent radome utilizing composite metamaterial structures is presented and investigated in this article, which can realize energy isolation and asymmetric propagation of electromagnetic (EM) wave self-adaptively by controlling states of PIN diodes. The whole structure mainly consists of a broadband polarization-sensitive polarization converter (PC) and an active frequency selective rasorber (AFSR) switching between a transmission mode and absorption mode which is used as an energy-selective surface (ESS). Among them, the function of the PC is to make the EM waves transmit asymmetrically, and the purpose of AFSR is to make the high-power waves be reflected or absorbed, which depends on the polarization type of the wave. Thus, the radome can realize both asymmetric propagations of EM wave and electromagnetic shielding. The equivalent circuit models (ECM) and parametric studies are considered to explain the physical operating mechanism of PC and AFSR. The fabricated structure with 7*7 unit cells is experimentally demonstrated and the measured results agree with simulated results well. Considering the distinctive characteristic of self-actuation, the presented concept has the potential application in electromagnetic stealth and HPEMWs shielding to protect communication devices.        "
15,"        Automatic analysis of highly crowded people has attracted extensive attention from computer vision research. Previous approaches for crowd counting have already achieved promising performance across various benchmarks. However, to deal with the real situation, we hope the model run as fast as possible while keeping accuracy. In this paper, we propose a compact convolutional neural network for crowd counting which learns a more efficient model with a small number of parameters. With three parallel filters executing the convolutional operation on the input image simultaneously at the front of the network, our model could achieve nearly real-time speed and save more computing resources. Experiments on two benchmarks show that our proposed method not only takes a balance between performance and efficiency which is more suitable for actual scenes but also is superior to existing light-weight models in speed.        "
16,"        Active Object Tracking (AOT) is crucial to many visionbased applications, e.g., mobile robot, intelligent surveillance. However, there are a number of challenges when deploying active tracking in complex scenarios, e.g., target is frequently occluded by obstacles. In this paper, we extend the single-camera AOT to a multi-camera setting, where cameras tracking a target in a collaborative fashion. To achieve effective collaboration among cameras, we propose a novel Pose-Assisted Multi-Camera Collaboration System, which enables a camera to cooperate with the others by sharing camera poses for active object tracking. In the system, each camera is equipped with two controllers and a switcher: The vision-based controller tracks targets based on observed images. The pose-based controller moves the camera in accordance to the poses of the other cameras. At each step, the switcher decides which action to take from the two controllers according to the visibility of the target. The experimental results demonstrate that our system outperforms all the baselines and is capable of generalizing to unseen environments. The code and demo videos are available on our website https://sites.google.com/view/pose-assistedcollaboration.        "
17,"        We study the relation between the properties of the bulge/disc components and the HI mass fraction of galaxies. We find that at fixed stellar mass, disc colours are correlated with the HI mass fraction, while bulge colours are not. The lack of a correlation between the bulge colour and the HI mass fraction is regardless whether the bulges are pseudo, or whether the galaxies host bars or are interacting with a neighbour. There is no strong correlation between the colours of the discs and bulges either. These results suggest that the current total amount of HI is closely related to the formation of discs, but does not necessarily fuel the formation of (pseudo) bulges in an efficient way. We do not find evidence for the star formation in the discs to be quenched by the bulges.        "
18,"        This paper documents the sixteenth data release (DR16) from the Sloan Digital Sky Surveys; the fourth and penultimate from the fourth phase (SDSS-IV). This is the first release of data from the southern hemisphere survey of the Apache Point Observatory Galactic Evolution Experiment 2 (APOGEE-2); new data from APOGEE-2 North are also included. DR16 is also notable as the final data release for the main cosmological program of the Extended Baryon Oscillation Spectroscopic Survey (eBOSS), and all raw and reduced spectra from that project are released here. DR16 also includes all the data from the Time Domain Spectroscopic Survey (TDSS) and new data from the SPectroscopic IDentification of ERosita Survey (SPIDERS) programs, both of which were co-observed on eBOSS plates. DR16 has no new data from the Mapping Nearby Galaxies at Apache Point Observatory (MaNGA) survey (or the MaNGA Stellar Library ""MaStar""). We also preview future SDSS-V operations (due to start in 2020), and summarize plans for the final SDSS-IV data release (DR17).        "
19,"        We investigate the effect of lattice disorder and local correlation effects in finite and periodic silicene structures caused by carbon doping using first-principles calculations. For both finite and periodic silicene structures, the electronic properties carbon-doped monolayers are dramatically changed by controlling the doping sites in the structures, which is related to the amount of disorder introduced in the lattice and electron-electron correlation effects. By changing the position of the carbon dopants, we found that a Mott-Anderson transition is achieved. Moreover, the band gap is determined by the level of lattice disorder and electronic correlation effects. Finally, these structures are ferromagnetic even under disorder which has potential applications in Si-based nanoelectronics, such as field-effect transistors (FETs).        "
20,"        The accuracy of OCR is usually affected by the quality of the input document image and different kinds of marred document images hamper the OCR results. Among these scenarios, the low-resolution image is a common and challenging case. In this paper, we propose the cascaded networks for document image super-resolution. Our model is composed by the Detail-Preserving Networks with small magnification. The loss function with perceptual terms is designed to simultaneously preserve the original patterns and enhance the edge of the characters. These networks are trained with the same architecture and different parameters and then assembled into a pipeline model with a larger magnification. The low-resolution images can upscale gradually by passing through each Detail-Preserving Network until the final high-resolution images. Through extensive experiments on two scanning document image datasets, we demonstrate that the proposed approach outperforms recent state-of-the-art image super-resolution methods, and combining it with standard OCR system lead to signification improvements on the recognition results.        "
21,"        The stacking and bending of graphene are trivial but extremely powerful agents of control over graphene's manifold physics. By changing the twist angle, one can drive the system over a plethora of exotic states via strong electron correlation, thanks to the moirÃ© superlattice potentials, while the periodic or triaxial strains induce discretization of the band structure into Landau levels without the need for an external magnetic field. We fabricated a hybrid system comprising both the stacking and bending tuning knobs. We have grown the graphene monolayers by chemical vapor deposition, using $^{12}$C and $^{13}$C precursors, which enabled us to individually address the layers through Raman spectroscopy mapping. We achieved the long-range spatial modulation by sculpturing the top layer ($^{13}$C) over uniform magnetic nanoparticles (NPs) deposited on the bottom layer ($^{12}$C). An atomic force microscopy study revealed that the top layer tends to relax into pyramidal corrugations with C$_3$ axial symmetry at the position of the NPs, which have been widely reported as a source of large pseudomagnetic fields (PMFs) in graphene monolayers. The modulated graphene bilayer (MGBL) also contains a few micrometer large domains, with the twist angle ~ 10$^{\circ}$, which were identified via extreme enhancement of the Raman intensity of the G-mode due to formation of Van Hove singularities (VHSs). We thereby conclude that the twist induced VHSs coexist with the PMFs generated in the strained pyramidal objects without mutual disturbance. The graphene bilayer modulated with magnetic NPs is a non-trivial hybrid system that accommodates features of twist induced VHSs and PMFs in environs of giant classical spins.        "
22,"        As China's first X-ray astronomical satellite, the Hard X-ray Modulation Telescope (HXMT), which was dubbed as Insight-HXMT after the launch on June 15, 2017, is a wide-band (1-250 keV) slat-collimator-based X-ray astronomy satellite with the capability of all-sky monitoring in 0.2-3 MeV. It was designed to perform pointing, scanning and gamma-ray burst (GRB) observations and, based on the Direct Demodulation Method (DDM), the image of the scanned sky region can be reconstructed. Here we give an overview of the mission and its progresses, including payload, core sciences, ground calibration/facility, ground segment, data archive, software, in-orbit performance, calibration, background model, observations and some preliminary results.        "
23,"        The Hard X-ray Modulation Telescope (HXMT) named Insight is China's first X-ray astronomical satellite. The Low Energy X-ray Telescope (LE) is one of its main payloads onboard. The detectors of LE adopt swept charge device CCD236 with L-shaped transfer electrodes. Charges in detection area are read out continuously along specific paths, which leads to a time response distribution of photons readout time. We designed a long exposure readout mode to measure the time response distribution. In this mode, CCD236 firstly performs exposure without readout, then all charges generated in preceding exposure phase are read out completely. Through analysis of the photons readout time in this mode, we obtained the probability distribution of photons readout time.        "
24,"        We combine the published stellar mass function (SMF) and gas scaling relations to explore the baryonic (stellar plus cold gas) mass function (BMF) of galaxies to redshift $z=3$. We find evidence that at log$(M_{\rm baryon}/M_{\bigodot})&gt;11.3$, the BMF evolves little since $z\sim 2.2$. With the evolution of BMF and SMF, we investigate the baryon net accretion rate ($\dotÏ_{\rm baryon}$) and stellar mass growth rate ($\dotÏ_{\rm star}$) for the galaxy population of log($M_{\rm star}/M_{\bigodot}$)&gt;10. The ratio between these two quanties, $\dotÏ_{\rm baryon}$/$\dotÏ_{\rm star}$, decreases from $\dotÏ_{\rm baryon}$/$\dotÏ_{\rm star}\sim$2 at $z\sim 2.5$ to $\dotÏ_{\rm baryon}$/$\dotÏ_{\rm star}&lt;$0.5 at $z\sim 0.5$, suggesting that massive galaxies are transforming from the ""accretion dominated"" phase to the ""depletion dominated"" phase from high$-z$ to low$-z$. The transition of these two phases occurs at $z\sim1.5$, which is consistent with the onset redshift of the decline of cosmic star formation rate density. This provides evidence to support the idea that the decline of cosmic star formation rate density since $z\sim1.5$ is mainly resulted from the decline of baryon net accretion rate and star formation quenching in galaxies.        "
25,"        We unveil the diamondization mechanism of few-layer graphene compressed in the presence of water, providing robust evidence for the pressure-induced formation of 2D diamond. High-pressure Raman spectroscopy provides evidence of a phase transition occurring in the range of 4-7 GPa for 5-layer graphene and graphite. The pressure-induced phase is partially transparent and indents the silicon substrate. Our combined theoretical and experimental results indicate a gradual top-bottom diamondization mechanism, consistent with the formation of diamondene, a 2D ferromagnetic semiconductor. High-pressure x-ray diffraction on graphene indicates the formation of hexagonal diamond, consistent with the bulk limit of eclipsed-conformed diamondene.        "
26,"        Environment is one of the key external drivers of the galaxies, while active galactic nucleus (AGN) is one of the key internal drivers. Both of them play fundamental roles in regulating the formation and evolution of galaxies. We explore the interrelationship between environment and AGN in SDSS. At a given stellar mass, the specific star formation rate distribution of the AGN host galaxies remains unchanged with over-density, with the peak of the distribution around the Green Valley. We show that, at a given stellar mass, the AGN fraction that has been commonly used in previous studies (defined as the number of AGNs relative to all galaxies including passive and star forming ones) does decrease with increasing over-density for satellites. This is largely due to the fact that the fraction of passive galaxies strongly depends on environment. In order to investigate the intrinsic correlation between AGN and environment, especially under the assumption that AGN feedback is responsible for star formation quenching, the AGN fraction should be defined as the number of AGNs relative to the star-forming galaxies only. With the new definition, we find little dependence of AGN fraction on over-density, central/satellite, and group halo mass. There is only marginal evidence that AGN may prefer denser regions, which is possibly due to more frequent interaction of galaxies or higher merger rate in groups. Our results support the scenario that internal secular evolution is the predominant mechanism of triggering AGN activity, while external environment related processes only play a minor role.        "
27,"        We explore the interrelationships between the galaxy group halo mass and various observable group properties. We propose a simple scenario that describes the evolution of the central galaxies and their host dark matter halos. Star formation quenching is one key process in this scenario, which leads to the different assembly histories of blue groups (group with a blue central) and red groups (group with a red central). For blue groups, both the central galaxy and the halo continue to grow their mass. For red groups, the central galaxy has been quenched and its stellar mass remains about constant, while its halo continues to grow by merging smaller halos. From this simple scenario, we speculate about the driving properties that should strongly correlate with the group halo mass. We then apply the machine learning algorithm the Random Forest (RF) regressor to blue groups and red groups separately in the semianalytical model L-GALAXIES to explore these nonlinear multicorrelations and to verify the scenario as proposed above. Remarkably, the results given by the RF regressor are fully consistent with the prediction from our simple scenario and hence provide strong support for it. As a consequence, the group halo mass can be more accurately determined from observable galaxy properties by the RF regressor with a 50% reduction in error. A halo mass more accurately determined in this way also enables more accurate investigations on the galaxy-halo connection and other important related issues, including galactic conformity and the effect of halo assembly bias on galaxy assembly.        "
28,"        Advanced microscopy and/or spectroscopy tools play indispensable role in nanoscience and nanotechnology research, as it provides rich information about the growth mechanism, chemical compositions, crystallography, and other important physical and chemical properties. However, the interpretation of imaging data heavily relies on the ""intuition"" of experienced researchers. As a result, many of the deep graphical features obtained through these tools are often unused because of difficulties in processing the data and finding the correlations. Such challenges can be well addressed by deep learning. In this work, we use the optical characterization of two-dimensional (2D) materials as a case study, and demonstrate a neural-network-based algorithm for the material and thickness identification of exfoliated 2D materials with high prediction accuracy and real-time processing capability. Further analysis shows that the trained network can extract deep graphical features such as contrast, color, edges, shapes, segment sizes and their distributions, based on which we develop an ensemble approach topredict the most relevant physical properties of 2D materials. Finally, a transfer learning technique is applied to adapt the pretrained network to other applications such as identifying layer numbers of a new 2D material, or materials produced by a different synthetic approach. Our artificial-intelligence-based material characterization approach is a powerful tool that would speed up the preparation, initial characterization of 2D materials and other nanomaterials and potentially accelerate new material discoveries.        "
29,"        2D van der Waals materials have rich and unique functional properties, but many are susceptible to corrosion under ambient conditions. Here we show that linear alkylamines are highly effective in protecting the optoelectronic properties of these materials such as black phosphorous (BP) and transitional metal dichalcogenides. As a representative example, n-hexylamine can be applied in the form of thin molecular monolayers on BP flakes with less-than-2nm thickness and can prolong BP's lifetime from a few hours to several weeks and even months in ambient environments. Characterizations combined with our theoretical analysis show that the thin monolayers selectively sift out water molecules, forming a drying layer to achieve the passivation of the protected 2D materials. The monolayer coating is also stable in air, hydrogen annealing, and organic solvents, but can be removed by certain organic acids.        "
30,"        How Supermassive Blackholes (SMBHs) are spun-up is a key issue of modern astrophysics. As an extension of the study in Wang et al. (2016), we here address the issue by comparing the host galaxy properties of nearby ($z&lt;0.05$) radio-selected Seyfert 2 galaxies. With the two-dimensional bulge+disk decompositions for the SDSS $r$-band images, we identify a dichotomy on various host galaxy properties for the radio-powerful SMBHs. By assuming the radio emission from the jet reflects a high SMBH spin, which stems from the well-known BZ mechanism of jet production, high-mass SMBHs (i.e., $M_{\mathrm{BH}}&gt;10^{7.9}M_\odot$) have a preference for being spun-up in classical bulges, and low-mass SMBHs (i.e., $M_{\mathrm{BH}}=10^{6-7}M_\odot$) in pseudo-bulges. This dichotomy suggests and confirms that high-mass and low-mass SMBHs are spun-up in different ways, i.e., a major ""dry"" merger and a secular evolution.        "
31,"        The I4U consortium was established to facilitate a joint entry to NIST speaker recognition evaluations (SRE). The latest edition of such joint submission was in SRE 2018, in which the I4U submission was among the best-performing systems. SRE'18 also marks the 10-year anniversary of I4U consortium into NIST SRE series of evaluation. The primary objective of the current paper is to summarize the results and lessons learned based on the twelve sub-systems and their fusion submitted to SRE'18. It is also our intention to present a shared view on the advancements, progresses, and major paradigm shifts that we have witnessed as an SRE participant in the past decade from SRE'08 to SRE'18. In this regard, we have seen, among others, a paradigm shift from supervector representation to deep speaker embedding, and a switch of research challenge from channel compensation to domain adaptation.        "
32,"        We study the gas inflow rate ($Î¶_{\rm inflow}$) and outflow rate ($Î¶_{\rm outflow}$) evolution of local Milky Way-mass star-forming galaxies (SFGs) since $z=1.3$. The stellar mass growth history of Milky Way-mass progenitor SFGs is inferred from the evolution of the star formation rate (SFR)$-$stellar mass ($M_{\ast}$) relation, and the gas mass ($M_{\rm gas}$) is derived using the recently established gas scaling relations. With the $M_{\ast}+M_{\rm gas}$ growth curve, the net inflow rate $Îº$ is quantified at each cosmic epoch. At $z\sim 1.3$, $Îº$ is comparable with the SFR, whereas it rapidly decreases to $\sim 0.15\times$SFR at $z=0$. We then constrain the average outflow rate $Î¶_{\rm outflow}$ of progenitor galaxies by modeling the evolution of their gas-phase metallicity. The best-fit $Î¶_{\rm outflow}$ is found to be $(0.5-0.8)\times$SFR. Combining $Îº$ and $Î¶_{\rm outflow}$, we finally investigate the evolution of $Î¶_{\rm inflow}$ since $z=1.3$. We find that $Î¶_{\rm inflow}$ rapidly decreases by $\sim$80\% from $z=1.3$ to $z=0.5$. At $z&lt;0.5$, $Î¶_{\rm inflow}$ continuously decreases but with a much lower decreasing rate. Implications of these findings on galaxy evolution are discussed.        "
33,"        Let $\mathfrak{g}$ be the derived subalgebra of a Kac-Moody Lie algebra of finite type or affine type, $Î¼$ a diagram automorphism of $\mathfrak{g}$ and $L(\mathfrak{g},Î¼)$ the loop algebra of $\mathfrak{g}$ associated to $Î¼$. In this paper, by using the vertex algebra technique, we provide a general construction of current type presentations for the universal central extension $\widehat{\mathfrak{g}}[Î¼]$ of $L(\mathfrak{g},Î¼)$. The construction contains the classical limit of Drinfeld's new realization for (twisted and untwisted) quantum affine algebras ([Dr]) and the Moody-Rao-Yokonuma presentation for toroidal Lie algebras ([MRY]) as special examples. As an application, when $\mathfrak{g}$ is of simply-laced type, we prove that the classical limit of the $Î¼$-twisted quantum affinization of the quantum Kac-Moody algebra associated to $\mathfrak{g}$ introduced in [CJKT1] is the universal enveloping algebra of $\widehat{\mathfrak{g}}[Î¼]$.        "
34,"        Let $\fg$ be an affine Kac-Moody algebra, and $Î¼$ a diagram automorphism of $\fg$. In this paper, we give an explicit realization for the universal central extension $\wh\fg[Î¼]$ of the twisted loop algebra of $\fg$ related to $Î¼$, which provides a Moody-Rao-Yokonuma presentation for the algebra $\wh\fg[Î¼]$ when $Î¼$ is non-transitive, and the presentation is indeed related to the quantization of toroidal Lie algebras.        "
35,"        When the Fermi level matches the Dirac point in graphene, the reduced charge screening can dramatically enhance electron-electron (e-e) scattering to produce a strongly interacting Dirac liquid. While the dominance of e-e scattering already leads to novel behaviors, such as electron hydrodynamic flow, further exotic phenomena have been predicted to arise specifically from the unique kinematics of e-e scattering in massless Dirac systems. Here, we use optoelectronic probes, which are highly sensitive to the kinematics of electron scattering, to uncover a giant intrinsic photocurrent response in pristine graphene. This photocurrent emerges exclusively at the charge neutrality point and vanishes abruptly at non-zero charge densities. Moreover, it is observed at places with broken reflection symmetry, and it is selectively enhanced at free graphene edges with sharp bends. Our findings reveal that the photocurrent relaxation is strongly suppressed by a drastic change of fast photocarrier kinematics in graphene when its Fermi level matches the Dirac point. The emergence of robust photocurrents in neutral Dirac materials promises new energy-harvesting functionalities and highlights intriguing electron dynamics in the optoelectronic response of Dirac fluids.        "
